Date,Open_IONQ,High_IONQ,Low_IONQ,Close_IONQ,"Osc(5,15)_IONQ",Sig(9)_IONQ,Diff_IONQ,Volume_IONQ,UBB(2) - Upper Band_IONQ,BollMA (20) - Moving Average_IONQ,LBB(2) - Lower Band_IONQ,BollW - Bandwith_IONQ,%B_IONQ,RSI - Relative Strength Index_IONQ,Ichimoku - Conversion Line_IONQ,Ichimoku - Base(26)_IONQ,Ichimoku - Lag Line(26)_IONQ,Ichimoku  - Leading Span 1(26)_IONQ,Ichimoku  - Leading Span 2_IONQ,Stochastics - %DS(5)_IONQ,Stochastics - %DSS(3)_IONQ,Williams%R - WLPR(14)_IONQ,Directional Movement Index +DMI_IONQ,Directional Movement Index -DMI_IONQ,Directional Movement Index - ADX_IONQ,"Moving Average - MACD(12,26)_IONQ",Moving Average Signal Line - Sig(9)_IONQ,Moving Average Diff_IONQ,Average True Range - ATR(5)_IONQ,Rate of Change - ROC (1) on_IONQ,Open_VIX_INDEX,High_VIX_INDEX,Low_VIX_INDEX,Close_VIX_INDEX,SMAVG (50)_VIX_INDEX,SMAVG (100)_VIX_INDEX,SMAVG (200)_VIX_INDEX,Open_SPX,High_SPX,Low_SPX,Close_SPX,SMAVG (50)_SPX,SMAVG (100)_SPX,SMAVG (200)_SPX,Volume_SPX,SMAVG (15)_SPX
11/2/2023,10.92,11.34,10.75,11.14,-1.7013,-2.0259,0.3245,11.769M,17.1198,12.7135,8.3072,69.3168,0.3214,40.185,11.0548,12.915, ,16.3,16.895,5.2012,4.6014,-65.5004,21.3314,31.157,24.6944,-1.3653,-1.1898,-0.1755,0.8627,9.002,16.59,16.62,15.58,15.66,16.79,15.74,17.26,4268.26,4319.72,4268.26,4317.78,4348,4403.38,4245.31,768.439M,703.243M
11/1/2023,9.73,10.29,9.6,10.22,-2.2167,-1.9274,-0.2893,9.031M,17.3154,12.891,8.4666,68.6437,0.1982,32.8086,11.375,12.915, ,16.3975,16.895,4.0967,4.898,-83.5,15.1553,33.8142,25.154,-1.4651,-1.1459,-0.3193,0.734,6.0166,18.02,18.42,16.63,16.87,16.82,15.72,17.28,4201.27,4245.64,4197.74,4237.86,4350.36,4403.59,4243.37,776.97M,690.762M
10/31/2023,9.46,9.72,9.23,9.64,-2.5453,-1.7509,-0.7944,7.302M,17.4368,13.1185,8.8002,65.8354,0.0972,27.5805,11.65,12.915, ,16.7025,16.895,4.5062,6.6385,-94.1428,11.6956,35.5485,24.158,-1.4776,-1.0661,-0.4116,0.756,1.4737,19.86,19.86,17.97,18.14,16.8,15.69,17.29,4171.33,4195.55,4153.12,4193.8,4353.36,4404.2,4242.13,790.576M,675.915M
10/30/2023,10.4,10.4298,9.35,9.5,-2.6953,-1.5134,-1.1819,12.285M,17.3541,13.3325,9.3109,60.3275,0.0235,26.2951,11.94,12.975, ,16.6775,16.895,6.091,9.4242,-97.931,12.105,35.9356,22.1325,-1.413,-0.9632,-0.4498,0.889,-6.3116,21.13,21.16,19.55,19.75,16.78,15.66,17.3,4139.39,4177.47,4132.94,4166.82,4357.47,4405.2,4241.16,657.367M,661.802M
10/27/2023,10.2,10.39,10.06,10.14,-2.41,-1.2189,-1.1911,7.937M,17.2573,13.598,9.9387,53.8205,0.0275,28.4377,12.28,13.225, ,17.1425,16.895,9.3183,13.2473,-95.7037,13.039,33.635,20.0193,-1.2957,-0.8507,-0.445,0.7937,2.2177,20.39,22.07,19.72,21.27,16.72,15.61,17.3,4152.93,4156.7,4103.78,4117.37,4361.53,4406.21,4240.24,731.597M,653.355M
10/26/2023,10.29,10.45,9.85,9.92,-2.2633,-0.9106,-1.3527,12.436M,17.1671,13.835,10.5029,48.1685,-0.0875,26.5267,12.3082,13.225, ,17.225,16.895,12.8633,17.7876,-98.963,13.4587,34.7176,18.1648,-1.1924,-0.7395,-0.4529,0.9555,-4.6154,21.78,21.96,20.22,20.68,16.65,15.54,17.3,4175.99,4183.6,4127.9,4137.23,4366.59,4407.87,4239.5,799.203M,649.6M
10/25/2023,11.15,11.21,10.27,10.4,-1.8713,-0.6061,-1.2653,12.869M,16.9758,14.1085,11.2412,40.6468,-0.1467,28.044,12.75,13.435, ,17.5413,16.895,17.5603,23.0069,-97.9463,13.9927,33.3179,16.1677,-1.0207,-0.6263,-0.3944,1.1333,-5.5404,19.39,21.24,18.86,20.19,16.59,15.47,17.3,4232.42,4232.42,4181.42,4186.77,4371.93,4409.24,4238.41,722.041M,636.692M
10/24/2023,11.13,11.83,10.9101,11.01,-1.5047,-0.3154,-1.1893,18.483M,16.6085,14.3005,11.9925,32.2789,-0.2128,30.0738,13.57,13.7551, ,17.7775,16.895,22.9393,28.0832,-98.2443,14.8497,31.1879,14.2692,-0.8356,-0.5276,-0.3079,1.2299,-12.8956,20.03,20.24,18.65,18.97,16.52,15.4,17.29,4235.79,4259.38,4219.43,4247.68,4376.96,4410.19,4236.94,636.529M,631.872M
10/23/2023,12.34,12.8795,11.83,12.64,-1.0247,-0.0646,-0.9601,11.506M,16.2506,14.405,12.5594,25.6238,0.0218,36.6573,14.215,14.755, ,17.8675,16.895,28.521,32.2127,-83.0189,16.5855,28.6175,12.6369,-0.6493,-0.4507,-0.1986,0.9799,0.3971,21.83,23.08,19.48,20.37,16.47,15.35,17.3,4210.4,4255.84,4189.22,4217.04,4381.8,4409.93,4235.18,622.436M,632.25M
10/20/2023,13.29,13.52,12.515,12.59,-0.8153,0.119,-0.9344,9.587M,16.1683,14.4435,12.7187,23.884,-0.0373,36.2598,14.5575,15.2925, ,17.9975,16.895,32.7893,34.9604,-98.164,17.7548,26.0337,11.5615,-0.568,-0.401,-0.167,0.9451,-6.533,21.59,21.83,20.42,21.71,16.36,15.3,17.29,4273.85,4276.56,4223.03,4224.16,4386.74,4409.55,4233.13,847.181M,635.721M
10/19/2023,13.79,14.07,13.33,13.47,-0.628,0.2348,-0.8628,7.665M,16.0761,14.478,12.8799,22.0765,0.1846,40.4029,14.965,16.125, ,17.98,16.895,35.3278,36.0438,-95.7186,18.9422,22.3514,10.9965,-0.4509,-0.3593,-0.0917,0.9151,-1.607,19.73,21.4,18.55,21.4,16.22,15.23,17.27,4321.36,4339.54,4269.69,4278,4391.63,4409.37,4231.27,705.716M,628.291M
10/18/2023,14.18,14.53,13.51,13.69,-0.408,0.3223,-0.7303,7.831M,16.0717,14.481,12.8903,21.9701,0.2514,41.5038,15.055,16.46, ,17.98,16.895,36.7642,35.4361,-94.1748,19.8498,22.2569,11.2073,-0.3845,-0.3363,-0.0482,1.0027,-4.7983,18.36,20.15,17.88,19.22,16.11,15.17,17.27,4357.35,4364.2,4303.84,4314.6,4395.42,4408.64,4229.01,630.081M,619.323M
10/17/2023,14.12,14.7099,13.81,14.38,-0.0447,0.363,-0.4076,6.853M,16.09,14.5365,12.983,21.3738,0.4496,45.0811,15.205,17.28, ,17.875,16.895,36.0394,33.0148,-76.5517,21.1467,21.7894,11.6296,-0.3166,-0.3243,0.0077,0.9941,-0.2082,17.41,18.54,16.97,17.88,16.05,15.16,17.28,4345.23,4393.57,4337.54,4373.2,4399.12,4407.01,4226.63,643.477M,619.81M
10/16/2023,14.2,14.7663,14.02,14.41,0.3647,0.3541,0.0106,6.725M,16.2491,14.6065,12.9639,22.4913,0.4402,45.2386,15.215,17.28, ,16.8102,15.4,33.5046,29.7985,-65.3731,22.3426,21.7019,12.4091,-0.2955,-0.3262,0.0307,1.0412,0.8397,19.1,19.57,17.14,17.21,16.01,15.15,17.3,4342.37,4383.33,4342.37,4373.63,4402.03,4404.43,4224.01,591.931M,617.066M
10/13/2023,15.01,15.23,14.185,14.29,0.4773,0.2589,0.2184,8.372M,16.4667,14.694,12.9213,24.1282,0.386,44.5189,15.15,17.28, ,16.6525,15.2,29.5004,26.3434,-63.8121,23.36,21.6834,13.2517,-0.2674,-0.3339,0.0666,1.1886,-6.0487,16.53,20.78,16.5,19.32,15.98,15.16,17.32,4360.49,4377.1,4311.97,4327.78,4404.11,4402.15,4221.06,625.107M,612.3M
10/12/2023,15.78,16.23,14.97,15.21,0.7447,0.093,0.6516,9.743M,16.8757,14.8335,12.7913,27.5349,0.5922,49.1135,15.15,17.28,12.2,16.62,14.83,26.3905,23.5674,-38.1868,24.83,18.3207,13.9848,-0.2153,-0.3506,0.1352,1.2604,-3.0593,16.08,18.08,15.44,16.69,15.94,15.14,17.33,4380.94,4385.85,4325.43,4349.61,4407.6,4400.8,4218.57,581.217M,610.783M
10/11/2023,16.19,16.6,15.32,15.69,0.7527,-0.1697,0.9224,9.987M,17.4456,14.9745,12.5034,33.0038,0.6448,51.6984,15.15,17.28,12.99,16.64,14.67,23.1392,21.3863,-25,26.712,17.6039,13.9002,-0.2395,-0.3844,0.1449,1.2606,-1.9375,16.95,17.78,16.09,16.09,15.92,15.17,17.36,4366.59,4378.64,4345.34,4376.95,4410.87,4399.22,4216.04,554.261M,615.065M
10/10/2023,14.74,16.38,14.71,16,0.628,-0.5019,1.1299,16.382M,18.0698,15.1245,12.1792,38.9475,0.6486,53.3834,15.04,17.28,12.69,16.395,14.5575,21.1723,20.1516,-11.1111,27.4454,18.9595,13.3884,-0.3157,-0.4206,0.105,1.2509,9.2896,17.7,17.86,16.51,17.03,15.92,15.21,17.39,4339.75,4385.46,4339.64,4358.24,4414.87,4397.43,4213.27,578.886M,613.542M
10/9/2023,14.42,15.1298,14.33,14.64,0.2267,-0.8772,1.1039,8.916M,18.7419,15.29,11.8381,45.1524,0.4058,46.2465,14.5625,17.28,11.55,16.03,14.485,19.8472,19.1929,-51.7241,22.6644,21.0008,13.0116,-0.4399,-0.4468,0.007,1.0063,-4.2511,19.54,19.6,17.56,17.7,15.86,15.22,17.42,4289.02,4341.73,4283.79,4335.66,4419.48,4395.44,4210.87,530.664M,614.39M
10/6/2023,14.39,15.35,14.17,15.29,0.1593,-1.235,1.3943,8.895M,19.4703,15.542,11.6137,50.5508,0.4679,49.6178,14.4275,17.28,10.66,15.8037,14.485,19.4352,18.0791,-35.989,23.9876,22.2269,13.7195,-0.4536,-0.4486,-0.005,1.0295,4.0844,18.73,19.93,17.19,17.45,15.78,15.22,17.43,4234.79,4324.1,4219.55,4308.5,4424.41,4393.18,4208.3,675.263M,617.852M
10/5/2023,14.5,14.87,14.17,14.69,-0.042,-1.5692,1.5272,6.184M,20.0036,15.7445,11.4854,54.1025,0.3762,46.2599,14.4175,17.28,11.23,15.4871,14.485,18.2963,16.0261,-63.3475,22.796,23.8137,14.4817,-0.5306,-0.4473,-0.0833,0.9542,-0.5416,18.67,19.58,18.26,18.49,15.69,15.21,17.46,4259.31,4267.13,4225.91,4258.19,4428.99,4391.46,4205.85,605.585M,711.961M
10/4/2023,13.86,14.875,13.83,14.77,-0.1247,-1.8503,1.7256,8.775M,20.1797,15.8845,11.5893,54.0798,0.3703,46.6448,14.4175,17.28,11.41,15.28,14.485,16.5058,13.2719,-64.5792,23.7292,24.7885,15.4278,-0.5602,-0.4265,-0.1336,1.0814,6.1063,20.72,20.88,18.3,18.58,15.61,15.18,17.47,4233.83,4268.5,4220.48,4263.75,4435.16,4390.12,4203.82,649.739M,716.044M
10/3/2023,14.47,14.63,13.7,13.92,-0.492,-2.0667,1.5747,8.441M,20.6747,16.125,11.5753,56.4306,0.2577,41.8732,14.4175,17.28,11.47,15.235,14.485,13.2762,10.4274,-84.8341,23.7463,26.2798,16.4466,-0.5979,-0.3931,-0.2048,1.0995,-6.0095,17.81,20.48,17.52,19.78,15.5,15.17,17.49,4269.75,4281.15,4216.45,4229.45,4441.24,4388.79,4201.98,642.211M,715.312M
10/2/2023,14.93,15.145,14.47,14.81,-1.0153,-2.169,1.1536,7.662M,20.97,16.3775,11.785,56.0833,0.3293,45.8608,14.7,17.28,11.21,15.325,14.485,10.0336,8.5727,-73.5714,25.2442,23.5617,17.3221,-0.5508,-0.3419,-0.2088,1.0943,-0.4704,17.31,18.55,16.93,17.61,15.39,15.15,17.5,4284.52,4300.58,4260.21,4288.39,4447.74,4387.87,4200.81,674.495M,710.649M
9/29/2023,15.49,15.875,14.59,14.88,-1.62,-2.1392,0.5192,13.846M,21.0714,16.5125,11.9536,55.2174,0.321,46.182,14.78,17.28,11.58,15.325,14.485,7.9725,8.6696,-77.7778,26.1766,23.7753,18.3894,-0.5732,-0.2897,-0.2835,1.304,-3.3138,16.87,17.74,15.83,17.52,15.31,15.14,17.51,4328.18,4333.15,4274.86,4288.05,4452.7,4386.18,4199.46,735.725M,703.301M
9/28/2023,14.45,15.62,13.93,15.39,-2.2373,-1.96,-0.2773,15.514M,21.1323,16.628,12.1237,54.1775,0.3626,48.4791,15.32,17.28,11.14,15.565,14.485,7.7121,11.5201,-71.875,26.6189,25.436,19.4342,-0.6007,-0.2188,-0.3819,1.3135,8.0758,18.22,18.77,17.06,17.34,15.23,15.14,17.53,4269.65,4317.27,4264.38,4299.7,4457.64,4384.68,4197.97,571.201M,690.477M
9/27/2023,13.33,14.52,13.25,14.24,-2.7493,-1.623,-1.1264,15.092M,21.1867,16.7145,12.2423,53.5132,0.2233,42.4895,15.515,17.28,10.22,15.565,14.485,10.3242,17.4197,-85.1852,23.0312,27.8082,20.7543,-0.6789,-0.1234,-0.5556,1.1252,8.7023,18.29,19.71,18.03,18.22,15.17,15.14,17.55,4282.63,4292.07,4238.63,4274.51,4462.96,4383.04,4196.15,637.394M,698.52M
9/26/2023,13.24,13.69,12.98,13.1,-2.9933,-1.1606,-1.8327,8.431M,21.1558,16.8275,12.4992,51.4434,0.0694,35.5978,16.125,17.28,9.64,15.565,14.485,16.524,25.8635,-98.3796,20.2517,29.9904,21.628,-0.6518,0.0155,-0.6674,0.9778,-2.3117,18.03,19.5,17.17,18.94,15.08,15.12,17.58,4312.88,4313.01,4265.98,4273.53,4468.56,4380.91,4194.59,602.316M,694.006M
9/25/2023,13.21,13.65,12.96,13.41,-2.8487,-0.6688,-2.1799,8.908M,20.9849,16.936,12.8871,47.8141,0.0646,36.7085,16.46,16.895,9.5,15.565,14.485,25.4109,36.0885,-94.7917,20.8044,31.1244,21.8007,-0.4917,0.1824,-0.6741,1.1117,0.9789,17.25,18.41,16.79,16.9,14.96,15.11,17.6,4310.62,4338.51,4302.7,4337.44,4473.55,4379.08,4192.9,520.439M,693.215M
9/22/2023,14.08,14.36,13.18,13.28,-2.572,-0.1454,-2.4266,11.661M,20.8614,16.999,13.1366,45.4426,0.0186,35.9301,17.39,16.895,10.14,15.97,14.485,35.6557,47.0418,-98.8124,21.5394,31.0976,21.9489,-0.3117,0.3509,-0.6626,1.3226,-1.8477,17.31,17.41,15.93,17.2,14.9,15.11,17.62,4341.74,4357.4,4316.49,4320.06,4476.91,4376.9,4190.91,602.354M,695.722M
9/21/2023,14.4,14.6491,13.51,13.53,-2.0727,0.3759,-2.4486,15.439M,20.7082,17.066,13.4238,42.6841,0.0146,36.737,17.555,16.895,9.92,16.4427,14.485,47.1989,57.5184,-99.7528,22.8195,31.2837,22.2405,-0.0642,0.5165,-0.5808,1.3939,-8.5811,15.49,17.54,15.1,17.54,14.82,15.11,17.64,4374.36,4375.7,4329.17,4330,4480.71,4375.38,4189.31,645.439M,708.971M
9/20/2023,15.95,16.44,14.775,14.8,-1.412,0.8399,-2.2519,14.213M,20.4939,17.1945,13.8951,38.377,0.1371,41.0899,18.1875,16.895,10.4,16.6677,14.485,58.271,66.6082,-99.6337,24.2847,26.9961,22.7478,0.2272,0.6617,-0.4346,1.4458,-6.2104,14.18,15.15,13.57,15.14,14.74,15.14,17.68,4452.81,4461.03,4401.38,4402.2,4483.55,4373.77,4188.02,531.421M,697.947M
9/19/2023,16.35,16.6,15.72,15.78,-0.7473,1.2296,-1.977,9.756M,20.4828,17.2005,13.9182,38.1654,0.2836,44.9021,18.66,16.895,11.01,16.66,14.485,67.0852,74.0536,-98.9796,26.3093,24.515,24.091,0.4664,0.7704,-0.3039,1.3362,-2.3515,14.11,14.88,13.86,14.11,14.71,15.17,17.72,4445.41,4449.85,4416.61,4443.95,4484.29,4371.11,4186.39,591.606M,698.775M
9/18/2023,17.03,17.68,16.08,16.16,-0.0073,1.5654,-1.5727,10.492M,20.5818,17.1325,13.6832,40.2664,0.359,46.4539,18.84,16.895,12.64,16.8275,14.485,74.4685,79.7978,-81.8168,27.4317,23.8156,25.6725,0.6653,0.8463,-0.1811,1.5643,-5.3864,14.4,14.75,13.86,14,14.72,15.21,17.76,4445.13,4466.36,4442.11,4453.53,4483.61,4367.23,4184.57,582.598M,689.284M
9/15/2023,17.97,18.07,16.75,17.08,0.796,1.7803,-0.9843,13.73M,20.7889,16.9955,13.2021,44.6404,0.5111,50.3672,19.1,16.895,12.59,16.7675,14.485,80.6072,83.6232,-62.0879,29.5608,22.4139,27.1046,1.964,0.4458,0.8707,0.8916,-0.0209,12.7,14.17,12.68,13.79,14.74,15.23,17.8,4497.98,4497.98,4447.21,4450.32,4482.51,4363.41,4182.09,2.087B,687.851M
9/14/2023,18.77,19.29,17.77,18.03,1.412,1.854,-0.442,11.911M,20.9633,16.792,12.6207,49.6822,0.6484,54.793,19.065,16.895,13.47,16.7675,14.485,84.3177,85.9365,-48.1781,31.4295,18.9459,28.1318,2.1957,0.4362,1.0266,0.8968,0.1298,13.39,13.46,12.79,12.82,14.77,15.25,17.84,4487.78,4511.99,4478.69,4505.1,4481.74,4360.27,4179.66,666.839M,590.619M
9/13/2023,19.37,19.96,18.57,18.69,1.4327,1.8095,-0.3768,13.052M,20.9143,16.575,12.2357,52.3595,0.7437,58.0857,19.065,16.895,13.69,16.93,14.485,85.9447,86.7502,-39.2183,33.708,16.5038,28.3895,2.3725,0.466,1.1139,0.8644,0.2495,14.42,14.68,13.41,13.48,14.82,15.29,17.88,4462.65,4479.39,4453.52,4467.44,4480.57,4356.56,4177.26,638.751M,584.29M
9/12/2023,19.21,21.6,19.12,19.31,1.862,1.7278,0.1342,21.369M,20.6662,16.4185,12.1708,51.7428,0.8404,61.2989,18.855,16.895,14.38,16.975,14.485,87.547,85.6564,-30.8625,35.9193,14.9908,27.9377,2.5484,0.4826,1.1419,0.802,0.3399,14.02,14.42,13.71,14.23,14.83,15.34,17.91,4473.27,4487.11,4456.83,4461.9,4480.34,4353.18,4175.06,572.264M,574.8M
9/11/2023,19.2,19.77,18.76,19.68,2.12,1.5952,0.5248,11.041M,20.2772,16.197,12.1168,50.3819,0.9268,63.2374,17.5005,16.12,14.41,16.8603,14.485,86.7589,81.7936,-6.2925,31.3016,16.8187,26.9246,2.6769,0.486,1.0979,0.717,0.3809,14.17,14.33,13.74,13.8,14.82,15.39,17.94,4480.98,4490.77,4467.89,4487.46,4480.11,4350.11,4172.77,564.285M,572.682M
9/8/2023,17.6,19.35,17.5918,19.34,2.1033,1.4075,0.6959,13.094M,19.755,15.9985,12.242,46.9609,0.9448,62.2179,17.185,16.12,14.29,16.2725,14.4525,82.6633,75.5022,-10.6049,30.8045,17.6317,26.6805,2.6501,0.4858,0.9881,0.6218,0.3663,14.22,14.87,13.58,13.84,14.82,15.42,17.97,4451.3,4473.53,4448.38,4457.49,4478.29,4346.78,4170.08,543.364M,578.558M
9/7/2023,18.52,18.52,16.6,17.49,2.0953,1.2004,0.8949,16.135M,19.2435,15.741,12.2385,44.5011,0.7497,56.0612,17.12,16.12,15.21,16.1725,14.335,75.9586,67.5146,-32.57,29.5593,19.2205,26.6408,2.2703,0.4663,0.8683,0.5303,0.338,14.81,15.69,14.4,14.4,14.81,15.45,18.01,4434.55,4457.81,4430.46,4451.14,4476.67,4343.72,4167.62,691.844M,581.404M
9/6/2023,18.84,20.05,18.63,19.58,2.2747,0.9464,1.3283,13.194M,19.0375,15.591,12.1445,44.2115,1.0787,67.6205,17.115,16.165,15.69,15.9875,14.025,67.8846,58.8334,-5.9796,34.1355,11.65,27.0597,2.794,0.4771,0.891,0.4458,0.4452,14.27,15.3,14.13,14.45,14.79,15.48,18.05,4490.35,4490.35,4442.38,4465.48,4475.22,4340.59,4165.1,569.685M,570.333M
9/5/2023,17.28,19.07,17.27,18.97,1.9267,0.6094,1.3173,12.119M,18.2989,15.3785,12.4581,37.9809,1.1149,65.704,16.625,16.165,16,15.5025,13.175,58.7007,50.5697,-1.4535,31.5706,12.5068,25.3635,2.7056,0.4799,0.6943,0.3344,0.3598,14.15,14.47,13.7,14.01,14.77,15.5,18.08,4510.06,4514.29,4496.01,4496.83,4472.49,4337.39,4162.57,590.442M,567.781M
9/1/2023,17.34,17.62,16.53,17.51,1.4593,0.241,1.2183,7.836M,17.6261,15.209,12.7919,31.7853,0.976,60.5091,15.895,16.165,14.64,14.7863,12.1706,49.9149,43.7461,-2.0258,26.9287,13.6919,23.9876,2.4054,0.5145,0.4951,0.2445,0.2507,13.56,13.56,13.02,13.09,14.78,15.55,18.15,4530.6,4541.25,4501.35,4515.77,4469.52,4333.34,4160.04,558.053M,564.475M
8/31/2023,17.12,17.53,16.5613,17.19,1.0113,-0.0978,1.1091,7.682M,17.5977,15.203,12.8083,31.5034,0.9149,59.253,15.4425,16.165,15.29,14.1,11.525,43.0936,38.455,-6.367,27.9796,14.4626,23.3261,2.3663,0.5142,0.3825,0.1818,0.2006,13.98,14,13.44,13.57,14.78,15.59,18.19,4517.01,4532.26,4507.39,4507.66,4466.84,4329.28,4157.25,801.082M,559.421M
8/30/2023,16.32,17.4284,16.11,17.12,0.6973,-0.4124,1.1097,11.589M,17.8731,15.258,12.6429,34.2788,0.856,58.988,14.8092,16.165,14.69,13.7502,11.19,38.2298,33.7089,-11.1696,28.8316,15.167,22.6706,2.3866,0.5301,0.2657,0.1317,0.134,14.53,14.7,13.83,13.88,14.77,15.64,18.23,4500.34,4521.65,4493.59,4514.87,4464,4325.29,4154.67,480.082M,540.914M
